group	required_for	logical_path	bytes	sha256	original_path	description
checkpoint	reuse	artifacts/checkpoints/heldout/w20/best_model.pt	54008243	5fac040f7f0bdc8ff0d6ed05439dabfad6011ee1e44cff733c54bda8ea6e6540	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/heldout/w20/best_model.pt	chrX-held-out 20 kb best checkpoint
checkpoint	reuse	artifacts/checkpoints/heldout/w30/best_model.pt	54008243	de0a21f1b6490b5b23fc6af82d418138339981185fde57f5cdfda1d0665a577c	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/heldout/w30/best_model.pt	chrX-held-out 30 kb best checkpoint
checkpoint	reuse	artifacts/checkpoints/heldout/w40/best_model.pt	54008755	4d7ef47116452942bc309023047fdaf1275089f169eb80cd42509a235ffde332	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/heldout/w40/best_model.pt	chrX-held-out 40 kb best checkpoint
checkpoint	reuse	artifacts/checkpoints/heldout/w80/best_model.pt	54009267	889bf8942cbccc7f319a718fb569c9022cc66e1d120b5dddaf1e39bde1a535eb	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/heldout/w80/best_model.pt	chrX-held-out 80 kb best checkpoint
checkpoint	reuse+uniann	artifacts/checkpoints/chrxtrain/w5/best_model.pt	54008243	3a5bd8760d032e042804ebd70390914c1e99b7eb5041f66628ffeca9e6d02f30	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/chrxtrain/w5/best_model.pt	chrX-in-training 5 kb best checkpoint
checkpoint	reuse+uniann	artifacts/checkpoints/chrxtrain/w10/best_model.pt	54008243	ed58d760431c417da7a0581a3a0dd6fe923483cee643fea5b5f4d70c8c422035	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/chrxtrain/w10/best_model.pt	chrX-in-training 10 kb best checkpoint
checkpoint	reuse+uniann	artifacts/checkpoints/chrxtrain/w20/best_model.pt	54008243	e85266b8a7d87c2fdc025ebd30d4a04c45e61cf3120491ea7ed26878d7549cda	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/chrxtrain/w20/best_model.pt	chrX-in-training 20 kb best checkpoint
checkpoint	reuse+uniann	artifacts/checkpoints/chrxtrain/w30/best_model.pt	54008243	24ef043ce1acb2b56d6632178361599d0a6312cc01ebfc365394329c5b6096da	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/chrxtrain/w30/best_model.pt	chrX-in-training 30 kb best checkpoint
checkpoint	reuse+uniann	artifacts/checkpoints/chrxtrain/w40/best_model.pt	54008243	0cf0abe911d9aeadc60743ecd2f95a37837e6bbc7c7099e6259e4ebcdb986c88	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/chrxtrain/w40/best_model.pt	chrX-in-training 40 kb best checkpoint
checkpoint	reuse+uniann	artifacts/checkpoints/chrxtrain/w80/best_model.pt	54008755	f70dbd0768d4d2d98d1930bf2454604176ad2914c49a3b21544c5a16fd761dea	/home/bowencccc/ssm_splice_site/droso_window_grid_legacy_recipe_20260906/runs/chrxtrain/w80/best_model.pt	chrX-in-training 80 kb best checkpoint
human	human-data+train+score	data/raw/human_grch38.fa	3339739109	df6e4918316e05a9cc1fd29c352841d3678b607d7a436819cd43371b52c814c0	/home/bowencccc/ssm_splice_site/GCF_000001405.40_GRCh38.p14_genomic.fna	GRCh38.p14 genomic FASTA
human	human-data+train+score	data/raw/human_grch38.fa.fai	26165	0afdd6ac2a873585725622de2310a55a5f6065b623a093467e7e26c66ba61de7	/home/bowencccc/ssm_splice_site/GCF_000001405.40_GRCh38.p14_genomic.fna.fai	GRCh38 FASTA index
human	human-data+train	data/raw/human_eviann_pseudo_label.gff	361769762	6e9f79d47cb46f53748ccfb6ea6cb25b7bcfc625b0365c8c0dadd297ddde5560	/home/bowencccc/ssm_splice_site/data_human_EviAnn/Hsap_NC_000001.11/GCF_000001405.40_GRCh38.p14_genomic.noalpsnopatches.fna.pseudo_label.gff	Human EviAnn pseudo-label annotation
human	human-data+auprc	data/raw/human_chess3.1.3.gtf	334447794	457244782edde2ec7c3b35b38c4810e7a54332ce3acbe102f4281e99ae470ab0	/home/bowencccc/ssm_splice_site/chess3.1.3.GRCh38.gtf	CHESS 3.1.3 reference annotation
human	human-uniann	data/raw/psauron_score_human.csv	2273050624	2667a9a1edf8eedb274f5c86f91c649c3000925d2e2d842b1b05bfccaf14b672	/home/bowencccc/UniAnn/psauron_score_human.csv	Full Human PSAURON score file
human	human-reuse	artifacts/checkpoints/human/chr1train_cnn_mamba_k7/best_model.pt	54009139	5c6bd93d55c1c358f0deb1a4f9c4d48ccefaccce3c9b12c18c1b910260431a07	/home/bowencccc/ssm_splice_site/checkpoints_hsap_eviann_gene_regions_10kb_overlap_chr1train_cnn_mamba_k7_fp32/best_model.pt	Human 10 kb CNN-Mamba-k7 chr1-in-training checkpoint
